슈퍼히어로의 외모,비행 환경,대중의 반응,비디오 촬영 기법,인물의 특성,환경의 질감,움직임의 스타일,채도의 변화,우주선 디자인,군중의 반응,하늘의 분위기,착륙 장면의 동작,배우의 특징,관중의 반응,환경적 요소,장면의 흐름,건물의 질감,사람의 감정,장면의 시간대,주변 환경,인물 다양성,도심 풍경,행동 반응,불꽃놀이 효과,탐험가의 특성,물체의 모습,배경의 환경,장면의 감정,장면 설정,인물 특징,감정 표현,의상 스타일,장면 구체화,자연 요소,상위 키워드명1,상위 키워드명2,상위 키워드명3,상위 키워드명4
"['강인한 체격', '화려한 슈트', '독특한 마스크', '비행 기계 장비']","['도시의 스카이라인', '푸른 하늘', '저녁 노을', '구름 사이']","['경탄하는 표정', '아이들의 놀람', '카메라 플래시', '소리치는 군중']","['드론 샷', '슬로우 모션', '360도 회전', '편집 효과']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"['청소년', '중년', '어린이', '노인']","['흠뻑 젖은 거리', '물방울이 맺힌 창', '반사되는 인도', '습기 있는 공기']","['빠른 달리기', '우산을 쓴 조깅', '한 손에 가방 든 빠른 걸음', '휴대폰을 쳐다보며 걷기']","['어두운 회색톤', '밝은 원색으로 가득한 거리', '소프트톤의 조명', '비 오는 날의 음산한 느낌']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"['미래적 디자인', '고전적 디테일', '유선형 형태', '다채로운 색상']","['어린이의 놀라움', '노인의 경외감', '청중의 환호', '윤곽선이 강조된 얼굴']","['맑은 청명함', '흐린 날씨', '퇴색된 석양', '별이 빛나는 밤']","['빠른 하강', '부드러운 착지', '하강 중의 연기', '지면 충돌 순간']",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"['스타일리시한 의상', '중년의 남성', '유명한 헤어스타일', '특징적인 표정']","['열광적인 환호', '사진 촬영', '손 흔들기', '사인 요청']","['도심의 스카이라인', '화창한 날씨', '다양한 표지판', '왕래하는 차량들']","['빠른 줌인', '긴 클로즈업', '패닝 샷', '리프트 업뷰']",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"['낡은 회벽', '부서진 기와', '녹슬은 철제 기둥', '무너진 벽돌']","['두려운 표정', '경이로운 시선', '슬픈 미소', '혼란스러운 모습']","['황혼의 하늘', '맑은 햇살', '어두운 밤', '비 오는 아침']","['웅장한 산초', '조용한 공원', '황량한 도로', '인적이 드문 골목']",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"['청년', '가족', '노부부', '어린이']","['고층 빌딩', '공원', '카페 거리', '역사적 건축물']","['휴대폰 촬영', '환희의 포즈', '모두의 시선 집중', '단체 사진 촬영']","['다채로운 색상', '폭발적 장면', '반사처럼 번지는 빛', '예술적 패턴']",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"['젊은 여성', '노익장 남성', '다양한 인종', '전문 장비']","['반짝이는 구체', '형체가 없는 연기', '빛나는 크리스탈', '거대한 금속 구조']","['울창한 숲', '눈 덮인 산', '신비로운 안개', '거친 바위 언덕']","['호기심의 순간', '경외감이 느껴지는', '긴장된 대치', '이상함을 느끼는']",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['운동장', '관중석', '팀 벤치', '경기장 중앙']","['남성 선수', '여성 선수', '어린이 팬', '연세 드신 관객']","['환희', '흥분', '놀람', '일체감']","['팀 유니폼', '응원복', '일반 의상', '스포츠 액세서리']",,,,,,
,,,,"['중년의 남성', '젊은 여성', '아이와 어른', '노부부']",,,,,,,,,,,,,,,,,,,,,,,,,,"['편안한 미소', '감상적인 표정', '조용한 대화', '잠시의 침묵']",,"['따뜻한 카페 내부', '겨울 풍경', '어두운 밤하늘', '기온이 낮은 날']","['하얀 눈송이', '바람에 흔들리는 나무', '눈에 덮인 지면', '안개 낀 거리']",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['지하철 내부', '조명 상태', '사람들의 반응', '장소의 분위기']","['혼잡한 시간대', '기차 대기 중', '어두운 환경', '긴장된 순간']","['다양한 연령층', '다양한 옷 차림', '두려운 표정', '불안한 제스처']","['생생한 텍스처', '역동적인 구도', '부드러운 조명 변화', '강렬한 대비']"
