input,Keyword_1,Keyword_2,Keyword_3,Keyword_4
슈퍼히어로가 하늘을 날자 사람들의 시선이 집중되는 장면을 만들어줘,"슈퍼히어로의 외모: [강인한 체격, 비행 기계 장비, 화려한 슈트, 독특한 마스크]",비행 환경: [저녁 노을],"대중의 반응: [소리치는 군중, 경탄하는 표정]","비디오 촬영 기법: [360도 회전, 드론 샷]"
갑자기 비가 쏟아져 모두가 뛰어가는 도심의 모습을 영상으로 만들어줘,"인물의 특성: [어린이, 청소년, 노인, 중년]","환경의 질감: [물방울이 맺힌 창, 흠뻑 젖은 거리, 반사되는 인도, 습기 있는 공기]","움직임의 스타일: [빠른 달리기, 휴대폰을 쳐다보며 걷기, 우산을 쓴 조깅]","채도의 변화: [밝은 원색으로 가득한 거리, 비 오는 날의 음산한 느낌, 소프트톤의 조명]"
우주선이 하늘을 가르며 착륙하자 놀란 군중들이 바라보는 장면을 만들어줘,우주선 디자인: [미래적 디자인],"군중의 반응: [윤곽선이 강조된 얼굴, 어린이의 놀라움, 청중의 환호, 노인의 경외감]","하늘의 분위기: [퇴색된 석양, 흐린 날씨, 별이 빛나는 밤, 맑은 청명함]","착륙 장면의 동작: [부드러운 착지, 지면 충돌 순간]"
유명 배우가 거리 한복판에 나타나 팬들이 몰려드는 장면을 만들어줘,"배우의 특징: [유명한 헤어스타일, 중년의 남성]","관중의 반응: [사진 촬영, 사인 요청]","환경적 요소: [도심의 스카이라인, 다양한 표지판, 화창한 날씨, 왕래하는 차량들]","장면의 흐름: [긴 클로즈업, 리프트 업뷰, 빠른 줌인, 패닝 샷]"
오래된 건물이 무너지고 사람들은 멀리서 바라보며 속삭이는 장면을 만들어줘,"건물의 질감: [낡은 회벽, 녹슬은 철제 기둥, 무너진 벽돌, 부서진 기와]","사람의 감정: [혼란스러운 모습, 슬픈 미소, 경이로운 시선]","장면의 시간대: [맑은 햇살, 어두운 밤, 황혼의 하늘]","주변 환경: [황량한 도로, 조용한 공원]"
도심 한가운데에서 갑자기 불꽃놀이가 터지고 모두가 휴대폰을 꺼내는 장면을 만들어줘,"인물 다양성: [청년, 어린이]","도심 풍경: [카페 거리, 역사적 건축물, 공원, 고층 빌딩]","행동 반응: [휴대폰 촬영, 모두의 시선 집중, 단체 사진 촬영]",불꽃놀이 효과: [예술적 패턴]
산속에서 빛나는 정체불명의 물체를 발견한 탐험가들이 서로를 바라보는 장면을 만들어줘,탐험가의 특성: [노익장 남성],"물체의 모습: [반짝이는 구체, 거대한 금속 구조, 형체가 없는 연기, 빛나는 크리스탈]","배경의 환경: [눈 덮인 산, 거친 바위 언덕]","장면의 감정: [긴장된 대치, 경외감이 느껴지는, 호기심의 순간]"
운동 경기에서 결승골이 들어가자 관중들이 환호하는 장면을 만들어줘,"장면 설정: [관중석, 팀 벤치, 운동장]",인물 특징: [여성 선수],"감정 표현: [흥분, 환희, 일체감, 놀람]","의상 스타일: [팀 유니폼, 일반 의상]"
유리창 너머로 눈이 내리기 시작하자 사람들이 조용히 바라보는 장면을 만들어줘,장면 구체화: [기온이 낮은 날],인물의 특성: [아이와 어른],"감정 표현: [조용한 대화, 잠시의 침묵]",자연 요소: [바람에 흔들리는 나무]
지하철 안에서 갑자기 꺼진 조명에 사람들이 놀라는 순간을 영상으로 만들어줘,상위 키워드명1: [지하철 내부],"상위 키워드명2: [어두운 환경, 기차 대기 중]","상위 키워드명3: [다양한 옷 차림, 불안한 제스처]","상위 키워드명4: [강렬한 대비, 생생한 텍스처, 역동적인 구도, 부드러운 조명 변화]"
